time_epoch,time_str,real_id,x,y,camera_id
1785758349.011,18:59:09,Lon_Vang_02,0.7196,0.4796,cam2
1785758349.860,18:59:09,Lon_Xanhduong_04,0.3500,0.5407,cam2
1785758350.020,18:59:10,Lon_Vang_02,0.7339,0.4796,cam2
1785758350.878,18:59:10,Lon_Xanhduong_04,0.2554,0.5333,cam2
1785758351.038,18:59:11,Lon_Vang_02,0.6643,0.4593,cam2
1785758351.894,18:59:11,Lon_Xanhduong_04,0.2696,0.5352,cam2
1785758352.054,18:59:12,Lon_Vang_02,0.6714,0.4611,cam2
1785758352.991,18:59:12,Lon_Xanhduong_04,0.3107,0.5315,cam2
1785758353.064,18:59:13,Lon_Vang_02,0.7036,0.4593,cam2
1785758354.005,18:59:14,Lon_Xanhduong_04,0.3161,0.5296,cam2
1785758354.086,18:59:14,Lon_Vang_02,0.7107,0.4593,cam2
1785758355.016,18:59:15,Lon_Xanhduong_04,0.3143,0.5278,cam2
1785758355.094,18:59:15,Lon_Vang_02,0.7143,0.4537,cam2
1785758356.037,18:59:16,Lon_Xanhduong_04,0.3000,0.5148,cam2
1785758356.108,18:59:16,Lon_Vang_02,0.7000,0.4426,cam2
1785758357.096,18:59:17,Lon_Xanhduong_04,0.2982,0.5130,cam2
1785758357.205,18:59:17,Lon_Vang_02,0.7018,0.4407,cam2
1785758358.166,18:59:18,Lon_Xanhduong_04,0.3000,0.5167,cam2
1785758358.234,18:59:18,Lon_Vang_02,0.7018,0.4426,cam2
1785758359.175,18:59:19,Lon_Xanhduong_04,0.3232,0.5185,cam2
1785758359.252,18:59:19,Lon_Vang_02,0.7464,0.4444,cam2
1785758360.331,18:59:20,Lon_Vang_02,0.7750,0.5407,cam2
1785758360.331,18:59:20,Lon_Xanhduong_04,0.3821,0.6093,cam2
1785758361.385,18:59:21,Lon_Vang_02,0.8107,0.5611,cam2
1785758362.399,18:59:22,Lon_Xanhduong_04,0.5161,0.6333,cam2
1785758362.399,18:59:22,Lon_Vang_02,0.9036,0.5500,cam2
1785758363.528,18:59:23,Lon_Xanhduong_04,0.7446,0.5907,cam2
1785758364.662,18:59:24,Lon_Xanhduong_04,0.8464,0.5130,cam2
1785758365.675,18:59:25,Lon_Xanhduong_04,0.8446,0.5037,cam2
1785758366.731,18:59:26,Lon_Xanhduong_04,0.8268,0.4963,cam2
1785758367.778,18:59:27,Lon_Xanhduong_04,0.8500,0.4926,cam2
1785758368.795,18:59:28,Lon_Xanhduong_04,0.8571,0.4926,cam2
1785758369.811,18:59:29,Lon_Xanhduong_04,0.8250,0.5093,cam2
1785758370.827,18:59:30,Lon_Xanhduong_04,0.9000,0.5093,cam2
1785758371.138,18:59:31,Lon_Vang_02,0.9357,0.4278,cam2
1785758371.946,18:59:31,Lon_Xanhduong_04,0.5607,0.3907,cam2
1785758372.174,18:59:32,Lon_Vang_02,0.9143,0.3056,cam2
1785758372.957,18:59:32,Lon_Xanhduong_04,0.5554,0.3833,cam2
1785758373.247,18:59:33,Lon_Vang_02,0.9000,0.3093,cam2
1785758373.976,18:59:33,Lon_Xanhduong_04,0.5250,0.3704,cam2
1785758374.291,18:59:34,Lon_Vang_02,0.8839,0.2944,cam2
1785758375.075,18:59:35,Lon_Xanhduong_04,0.3714,0.3981,cam2
1785758375.310,18:59:35,Lon_Vang_02,0.7482,0.3315,cam2
1785758376.077,18:59:36,Lon_Xanhduong_04,0.3268,0.4648,cam2
1785758376.435,18:59:36,Lon_Vang_02,0.6911,0.4019,cam2
1785758377.093,18:59:37,Lon_Xanhduong_04,0.2571,0.4833,cam2
1785758377.486,18:59:37,Lon_Vang_02,0.6696,0.4222,cam2
1785758378.122,18:59:38,Lon_Xanhduong_04,0.3107,0.4981,cam2
1785758378.508,18:59:38,Lon_Vang_02,0.7482,0.4278,cam2
1785758379.128,18:59:39,Lon_Xanhduong_04,0.2839,0.5352,cam2
1785758379.664,18:59:39,Lon_Vang_02,0.6536,0.4519,cam2
1785758380.166,18:59:40,Lon_Xanhduong_04,0.4018,0.5611,cam2
1785758382.668,18:59:42,Lon_Xanhduong_04,0.4250,0.7352,cam2
1785758384.063,18:59:44,Lon_Xanhduong_04,0.4286,0.6278,cam2
1785758385.469,18:59:45,Lon_Xanhduong_04,0.3804,0.5407,cam2
1785758388.235,18:59:48,Lon_Vang_02,0.9054,0.4296,cam2
1785758388.471,18:59:48,Lon_Xanhduong_04,0.3054,0.3944,cam2
1785758389.567,18:59:49,Lon_Xanhduong_04,0.2429,0.2556,cam2
1785758390.656,18:59:50,Lon_Xanhduong_04,0.1857,0.2185,cam2
1785758391.683,18:59:51,Lon_Xanhduong_04,0.1839,0.1611,cam2
1785758392.731,18:59:52,Lon_Xanhduong_04,0.1857,0.1296,cam2
1785758393.783,18:59:53,Lon_Xanhduong_04,0.1607,0.1333,cam2
1785758394.800,18:59:54,Lon_Xanhduong_04,0.1750,0.1074,cam2
1785758395.816,18:59:55,Lon_Xanhduong_04,0.2107,0.1019,cam2
1785758396.830,18:59:56,Lon_Xanhduong_04,0.3304,0.1796,cam2
1785758397.935,18:59:57,Lon_Xanhduong_04,0.3732,0.2111,cam2
1785758398.942,18:59:58,Lon_Xanhduong_04,0.3714,0.2352,cam2
1785758400.048,19:00:00,Lon_Xanhduong_04,0.3589,0.2426,cam2
1785758401.052,19:00:01,Lon_Xanhduong_04,0.3857,0.2296,cam2
1785758402.071,19:00:02,Lon_Xanhduong_04,0.4161,0.2444,cam2
1785758403.079,19:00:03,Lon_Xanhduong_04,0.4000,0.2889,cam2
1785758404.096,19:00:04,Lon_Xanhduong_04,0.3946,0.2759,cam2
1785758405.108,19:00:05,Lon_Xanhduong_04,0.3875,0.2630,cam2
1785758406.136,19:00:06,Lon_Xanhduong_04,0.3946,0.2667,cam2
1785758407.223,19:00:07,Lon_Xanhduong_04,0.4214,0.2759,cam2
1785758408.238,19:00:08,Lon_Xanhduong_04,0.4982,0.3944,cam2
1785758409.250,19:00:09,Lon_Xanhduong_04,0.4696,0.4796,cam2
1785758410.345,19:00:10,Lon_Xanhduong_04,0.3268,0.5241,cam2
1785758411.380,19:00:11,Lon_Xanhduong_04,0.3393,0.4259,cam2
1785758412.558,19:00:12,Lon_Xanhduong_04,0.3661,0.4148,cam2
1785758412.700,19:00:12,Lon_Vang_02,0.7321,0.3648,cam2
1785758413.717,19:00:13,Lon_Vang_02,0.7554,0.3574,cam2
1785758413.875,19:00:13,Lon_Xanhduong_04,0.3982,0.4019,cam2
1785758414.741,19:00:14,Lon_Vang_02,0.8071,0.3370,cam2
1785758415.839,19:00:15,Lon_Vang_02,0.8393,0.3074,cam2
1785758416.153,19:00:16,Lon_Xanhduong_04,0.4250,0.3667,cam2
1785758416.850,19:00:16,Lon_Vang_02,0.8089,0.3315,cam2
1785758417.237,19:00:17,Lon_Xanhduong_04,0.4161,0.3667,cam2
1785758417.969,19:00:17,Lon_Vang_02,0.7125,0.3185,cam2
1785758418.276,19:00:18,Lon_Xanhduong_04,0.2893,0.3889,cam2
1785758418.970,19:00:18,Lon_Vang_02,0.6411,0.3259,cam2
1785758419.284,19:00:19,Lon_Xanhduong_04,0.2571,0.3944,cam2
1785758420.073,19:00:20,Lon_Vang_02,0.6750,0.3407,cam2
1785758420.306,19:00:20,Lon_Xanhduong_04,0.2839,0.4056,cam2
1785758421.081,19:00:21,Lon_Vang_02,0.6875,0.3315,cam2
1785758421.314,19:00:21,Lon_Xanhduong_04,0.2982,0.3944,cam2
1785758422.115,19:00:22,Lon_Vang_02,0.7375,0.3296,cam2
1785758422.345,19:00:22,Lon_Xanhduong_04,0.3571,0.3815,cam2
1785758423.136,19:00:23,Lon_Vang_02,0.7589,0.3296,cam2
1785758423.360,19:00:23,Lon_Xanhduong_04,0.3607,0.3889,cam2
1785758424.144,19:00:24,Lon_Vang_02,0.7286,0.3389,cam2
1785758424.380,19:00:24,Lon_Xanhduong_04,0.3268,0.4037,cam2
1785758425.214,19:00:25,Lon_Vang_02,0.7804,0.3296,cam2
1785758425.393,19:00:25,Lon_Xanhduong_04,0.3804,0.4074,cam2
1785758426.250,19:00:26,Lon_Vang_02,0.8321,0.3315,cam2
1785758426.563,19:00:26,Lon_Xanhduong_04,0.4107,0.4093,cam2
1785758427.284,19:00:27,Lon_Vang_02,0.8429,0.3519,cam2
1785758428.684,19:00:28,Lon_Vang_02,0.8875,0.3907,cam2
1785758429.728,19:00:29,Lon_Vang_02,0.7571,0.5222,cam2
1785758430.043,19:00:30,Lon_Xanhduong_04,0.2500,0.6611,cam2
